
"Population estimates - small area based by single year of age - England and Wales"
"ONS Crown Copyright Reserved [from Nomis on 24 September 2019]"
"Date       :","2017"
"Gender     :","Total"

"2011 output area","mnemonic","All Ages","Aged 0 to 15","Aged 16 to 64","Aged 65+"
"E00141144","E00141144",337,78,202,57
"E00141145","E00141145",266,21,200,45
"E00141146","E00141146",374,45,197,132
"E00141147","E00141147",306,38,125,143
"E00141148","E00141148",263,49,136,78
"E00141149","E00141149",300,79,167,54
"E00141150","E00141150",280,58,169,53
"E00141151","E00141151",270,71,155,44
"E00141152","E00141152",287,50,132,105
"E00141153","E00141153",329,68,204,57
"E00141155","E00141155",349,93,184,72
"E00141156","E00141156",303,61,168,74
"E00141157","E00141157",331,71,167,93
"E00141158","E00141158",296,53,184,59
"E00141159","E00141159",282,57,163,62
"E00141160","E00141160",329,76,181,72
"E00141161","E00141161",333,51,178,104
"E00141162","E00141162",332,105,167,60
"E00141163","E00141163",226,34,135,57
"E00141164","E00141164",315,83,197,35
"E00141165","E00141165",251,29,105,117
"E00141166","E00141166",194,25,131,38
"E00141167","E00141167",292,56,174,62
"E00141168","E00141168",319,61,213,45
"E00141169","E00141169",322,78,205,39
"E00141170","E00141170",291,61,176,54
"E00141171","E00141171",297,77,184,36
"E00141172","E00141172",283,71,163,49
"E00141173","E00141173",238,33,159,46
"E00141174","E00141174",250,60,164,26
"E00141175","E00141175",247,53,150,44
"E00141176","E00141176",258,32,170,56
"E00141177","E00141177",318,36,205,77
"E00141178","E00141178",291,51,197,43
"E00141179","E00141179",324,58,220,46
"E00141180","E00141180",307,62,190,55
"E00141181","E00141181",348,88,234,26
"E00141182","E00141182",299,73,181,45
"E00141183","E00141183",319,65,217,37
"E00141184","E00141184",488,145,312,31
"E00141185","E00141185",304,65,176,63
"E00141186","E00141186",206,21,97,88
"E00141187","E00141187",464,62,303,99
"E00141188","E00141188",151,33,82,36
"E00141189","E00141189",219,35,124,60
"E00141190","E00141190",269,60,154,55
"E00141191","E00141191",368,73,211,84
"E00141192","E00141192",303,55,179,69
"E00141193","E00141193",236,36,137,63
"E00141194","E00141194",147,17,90,40
"E00141195","E00141195",304,58,171,75
"E00141196","E00141196",164,27,102,35
"E00141197","E00141197",305,66,181,58
"E00141198","E00141198",270,35,128,107
"E00141199","E00141199",327,77,229,21
"E00141200","E00141200",305,69,216,20
"E00141201","E00141201",370,101,249,20
"E00141202","E00141202",226,28,144,54
"E00141203","E00141203",324,51,188,85
"E00141204","E00141204",643,157,426,60
"E00141205","E00141205",392,52,179,161
"E00141206","E00141206",326,58,193,75
"E00141207","E00141207",256,44,189,23
"E00141208","E00141208",272,37,180,55
"E00141209","E00141209",363,60,217,86
"E00141210","E00141210",289,48,215,26
"E00141211","E00141211",268,53,162,53
"E00141212","E00141212",353,47,178,128
"E00141213","E00141213",245,34,135,76
"E00141214","E00141214",290,52,216,22
"E00141215","E00141215",309,64,197,48
"E00141216","E00141216",261,37,137,87
"E00141217","E00141217",291,37,179,75
"E00141218","E00141218",329,41,192,96
"E00141219","E00141219",358,92,218,48
"E00141220","E00141220",311,57,163,91
"E00141221","E00141221",344,79,200,65
"E00141222","E00141222",346,74,212,60
"E00141223","E00141223",248,18,135,95
"E00141224","E00141224",251,40,152,59
"E00141225","E00141225",311,51,199,61
"E00141226","E00141226",268,73,149,46
"E00141227","E00141227",236,58,162,16
"E00141228","E00141228",333,78,199,56
"E00141229","E00141229",396,82,213,101
"E00141230","E00141230",259,23,110,126
"E00141231","E00141231",355,87,213,55
"E00141232","E00141232",284,68,147,69
"E00141233","E00141233",267,48,170,49
"E00141234","E00141234",324,65,229,30
"E00141235","E00141235",318,39,192,87
"E00141236","E00141236",236,37,150,49
"E00141237","E00141237",295,35,116,144
"E00141238","E00141238",180,33,112,35
"E00141239","E00141239",130,12,80,38
"E00141240","E00141240",182,21,113,48
"E00141241","E00141241",187,32,113,42
"E00141242","E00141242",145,22,89,34
"E00141243","E00141243",138,27,64,47
"E00141244","E00141244",435,84,250,101
"E00141245","E00141245",204,26,120,58
"E00141246","E00141246",453,76,275,102
"E00141247","E00141247",277,57,161,59
"E00141248","E00141248",194,32,120,42
"E00141249","E00141249",330,40,201,89
"E00141250","E00141250",284,53,157,74
"E00141251","E00141251",105,17,73,15
"E00141252","E00141252",392,85,244,63
"E00141253","E00141253",486,94,358,34
"E00141254","E00141254",228,36,154,38
"E00141255","E00141255",395,71,223,101
"E00141256","E00141256",521,238,269,14
"E00141257","E00141257",430,101,231,98
"E00141258","E00141258",284,49,171,64
"E00141259","E00141259",310,53,217,40
"E00141260","E00141260",295,40,182,73
"E00141261","E00141261",177,17,106,54
"E00141262","E00141262",339,87,216,36
"E00141263","E00141263",316,74,196,46
"E00141264","E00141264",318,69,211,38
"E00141265","E00141265",298,65,176,57
"E00141266","E00141266",294,48,178,68
"E00141267","E00141267",210,4,101,105
"E00141268","E00141268",204,28,123,53
"E00141269","E00141269",209,13,93,103
"E00141270","E00141270",270,35,147,88
"E00141271","E00141271",275,42,157,76
"E00141272","E00141272",313,68,162,83
"E00141273","E00141273",209,37,164,8
"E00141274","E00141274",217,32,128,57
"E00141275","E00141275",210,18,108,84
"E00141276","E00141276",284,59,195,30
"E00141277","E00141277",223,49,130,44
"E00141278","E00141278",168,6,86,76
"E00141279","E00141279",260,63,159,38
"E00171015","E00171015",515,65,316,134
"E00171016","E00171016",339,112,200,27
"E00171017","E00171017",264,70,156,38
"E00171018","E00171018",1422,430,946,46
"E00171019","E00171019",409,102,246,61
"E00171020","E00171020",169,26,99,44
"E00171021","E00171021",359,55,218,86
"E00171022","E00171022",355,136,212,7
"E00171023","E00171023",328,67,151,110
"E00171024","E00171024",193,24,103,66
"E00171025","E00171025",259,42,156,61
"E00171026","E00171026",403,56,275,72
"E00171027","E00171027",457,78,253,126
"E00171028","E00171028",334,52,159,123



